id,name,parent_id,type,description,is_labor_code,dcaa_allowable,overtime_account/id,color,linked_worktype
aa_43-1,43-1 MCWL - STALKER,DoD Contracts,contract,MTI radar on Stalker for MCWL. You must read the attached RAISARS1.docx file.,1,1,,,
aa_43-2_view,43-2 SPHINX Overview,DoD Contracts,view,MTI radar on RQ-21 platform.,,,,,
aa_43-2,43-2 SPHINX,43-2 SPHINX Overview,contract,MTI radar on RQ-21 platform. You must read the attached RAISARS2.docx file in the main project.,1,1,,,
aa_43-2a,43-2a SPHINX - COMPLETED PRODUCTS - TAGGED,43-2 SPHINX Overview,contract,43-2a SPHINX - COMPLETED PRODUCTS - TAGGED,,1,,,
aa_43-2b,43-2b SPHINX - SUB-ASSEMBLIES,43-2 SPHINX Overview,contract,43-2b SPHINX - SUB-ASSEMBLIES,,1,,,
aa_43-2c,43-2c SPHINX - CONSUMABLES,43-2 SPHINX Overview,contract,43-2c SPHINX - CONSUMABLES,,1,,,
aa_44-1,44-1 PANDA,DoD Contracts,contract,All Digital Radar. You must read the attached panda.pdf file.,1,1,,,
aa_non_dod_contracts,Non-DoD Contracts,Contracts,view,Non-DoD Contracts,,,,,
aa_34-3,34-3 DARPA HOT SPOTS,Non-DoD Contracts,contract,L3 DARPA Hotspots. You must read the attached L3DARPA.pdf file.,1,1,,,
aa_40-1,40-1 GADGETSMYTH,Non-DoD Contracts,contract,Expense incurred on behalf of Gadgetsmyth LLC per its request.,1,1,,,
aa_41-2,41-2 FAIR WEATHER,Non-DoD Contracts,contract,Expense related to ice imaging in Alaska.,1,1,,,
aa_45-1,45-1 VANTAGE POINT DEMO,Non-DoD Contracts,contract,Expense relating to the integration of a radar onto the Berkut platform and supporting Vanatage Point Aerospace in demonstrating capabilities.,1,1,,,
aa_46-1,46-1 NEAR EARTH AUTONOMY - DVE DEMO,Non-DoD Contracts,contract,Conduct demonstration of radar capabilities in degraded visual environment.,1,1,,,
aa_intercompany,Intercompany,Non-DoD Contracts,view,Intercompany,,,,,
aa_950_view,950 AVIATION Overview,Intercompany,view,950 AVIATION Overview,,,,,
aa_950,950 AVIATION,950 AVIATION Overview,contract,Aviation leased labor - General,1,1,,,
aa_950a,950a AVIATION - G&A,950 AVIATION Overview,normal,Admin labor leased to ImSAR Aviation at its request.,1,1,,,
aa_950b,950b AVIATION - PILOT LABOR,950 AVIATION Overview,normal,Pilot labor leased to ImSAR Aviation.,1,1,,,
aa_950b2,950b AVIATION - EQUIPMENT & TOOLS,950 AVIATION Overview,normal,950b AVIATION - EQUIPMENT & TOOLS,,1,,,
aa_950c,950c AVIATION - MAINTENANCE,950 AVIATION Overview,normal,Expense of routine maintenance of the aircraft. These should not dramatically increase the value or useful life of the aircraft.,1,1,,,
aa_950d,950d AVIATION - MODIFICATION,950 AVIATION Overview,normal,Expense of modifications to Aviation's aircraft. Overhauls that extend the useful life of the aircraft or additions of anything new to the aircraft.,1,1,,,
aa_950e,950e AVIATION - SUPPLIES & CONSUMABLES,950 AVIATION Overview,normal,950e AVIATION - SUPPLIES & CONSUMABLES,,1,,,
aa_950g,950g AVIATION - TRAINING,950 AVIATION Overview,normal,Time spent giving or receiving training for any of Aviation's operations.,1,1,,,
aa_950h,950h AVIATION - PILOT FATIGUE,950 AVIATION Overview,normal,Time off for pilots in need of rest. This code may only be used with prior approval from senior management or aviation management.,1,1,,,
aa_960_view,960 AVIANT Overview,Intercompany,view,960 AVIANT Overview,,,,,
aa_960,960 AVIANT,960 AVIANT Overview,contract,Aviant LLC leased labor - General,1,1,,,
aa_960a,960a AVIANT - G&A,960 AVIANT Overview,normal,Admin labor leased to Aviant at its request.,1,1,,,
aa_960b,960b AVIANT - PILOT LABOR,960 AVIANT Overview,normal,Pilot labor leased to Aviant.,1,1,,,
aa_960b2,960b AVIANT - EQUIPMENT & TOOLS,960 AVIANT Overview,normal,960b AVIANT - EQUIPMENT & TOOLS,,1,,,
aa_960c,960c AVIANT - MAINTENANCE,960 AVIANT Overview,normal,Expense of routine maintenance of the aircraft. These should not dramatically increase the value or useful life of the aircraft.,1,1,,,
aa_960d,960d AVIANT - MODIFICATION,960 AVIANT Overview,normal,Expense of modifications to Aviant's aircraft. Overhauls that extend the useful life of the aircraft or additions of anything new to the aircraft.,1,1,,,
aa_960e,960e AVIANT - SUPPLIES & CONSUMABLES,960 AVIANT Overview,normal,960e AVIANT - SUPPLIES & CONSUMABLES,,1,,,
aa_960g,960g AVIANT - TRAINING,960 AVIANT Overview,normal,Time spent giving or receiving training for any of Aviant's operations.,1,1,,,
aa_960h,960h AVIANT - PILOT FATIGUE,960 AVIANT Overview,normal,Time off for pilots in need of rest. This code may only be used with prior approval from senior management or aviation management.,1,1,,,
aa_970_view,970 TAGSMYTH Overview,Intercompany,view,970 TAGSMYTH Overview,,,,,
aa_970,970 TAGSMYTH,970 TAGSMYTH Overview,contract,Tagsmyth LLC leased labor - General,1,1,,,
aa_970a,970a TAGSMYTH - G&A,970 TAGSMYTH Overview,normal,General and Administrative labor leased to Tagsmyth LLC,1,1,,,
aa_970a1,970a1 TAGSMYTH - G&A - SUPPLIES & CONSUMABLES,970 TAGSMYTH Overview,normal,970a1 TAGSMYTH - G&A - SUPPLIES & CONSUMABLES,,1,,,
aa_970a2,970a2 TAGSMYTH - G&A - FIXED ASSETS,970 TAGSMYTH Overview,normal,970a2 TAGSMYTH - G&A - FIXED ASSETS,,1,,,
aa_970a3,970a3 TAGSMYTH - G&A - EQUIPMENT <$1K,970 TAGSMYTH Overview,normal,970a3 TAGSMYTH - G&A - EQUIPMENT <$1K,,1,,,
aa_970b,970b TAGSMYTH - SALES & MARKETING,970 TAGSMYTH Overview,normal,"Media, marketing, and other PR/advertising labor leased to Tagsmyth LLC",1,1,,,
aa_970b1,970b1 TAGSMYTH - SALES & MARKETING - PRINT,970 TAGSMYTH Overview,normal,970b1 TAGSMYTH - SALES & MARKETING - PRINT,,1,,,
aa_970b2,970b2 TAGSMYTH - SALES & MARKETING - APPAREL,970 TAGSMYTH Overview,normal,970b2 TAGSMYTH - SALES & MARKETING - APPAREL,,1,,,
aa_970b3,970b3 TAGSMYTH - SALES & MARKETING - MATERIALS & SUPPLIES,970 TAGSMYTH Overview,normal,970b3 TAGSMYTH - SALES & MARKETING - MATERIALS & SUPPLIES,,1,,,
aa_970c,970c TAGSMYTH - PRODUCTION,970 TAGSMYTH Overview,normal,Manufacturing and production labor leased to Tagsmyth LLC,1,1,,,
aa_970c1,970c1 TAGSMYTH - PRODUCTION - PACKAGING,970 TAGSMYTH Overview,normal,970c1 TAGSMYTH - PRODUCTION - PACKAGING,,1,,,
aa_970c2,970c2 TAGSMYTH - PRODUCTION - IMSAR PRODUCTION PARTS,970 TAGSMYTH Overview,normal,970c2 TAGSMYTH - PRODUCTION - IMSAR PRODUCTION PARTS,,1,,,
aa_970c3,970c3 TAGSMYTH - PRODUCTION - SHIPPING,970 TAGSMYTH Overview,normal,970c3 TAGSMYTH - PRODUCTION - SHIPPING,,1,,,
aa_970c4,970c4 TAGSMYTH - PRODUCTION - INVENTORY PURCHASES,970 TAGSMYTH Overview,normal,970c4 TAGSMYTH - PRODUCTION - INVENTORY PURCHASES,,1,,,
aa_970c5,970c5 TAGSMYTH - PRODUCTION - MATERIAL OVERHEAD,970 TAGSMYTH Overview,normal,970c5 TAGSMYTH - PRODUCTION - MATERIAL OVERHEAD,,1,,,
aa_970d,970d TAGSMYTH - CONTRACTS,970 TAGSMYTH Overview,normal,Contract labor leased to Tagsmyth LLC,1,1,,,
aa_international,International,Non-DoD Contracts,view,International,,,,,
aa_106-1,106-1 KOREA,International,contract,106-1 KOREA,1,1,,,
aa_108-1,108-1 CANADA DND,International,contract,108-1 CANADA DND,1,1,,,
aa_00,00 - NON-DoD - PARTS SALES -ALL CUSTOMERS,Non-DoD Contracts,normal,00 - NON-DoD - PARTS SALES -ALL CUSTOMERS,,1,,,
aa_irad,IR&D,PnL,view,IR&D,,,,green,
aa_irad_sustainment,IR&D Sustainment,IR&D,view,IR&D Sustainment,,,,,
aa_r19_view,R19 - WOLVERINE Overview,IR&D Sustainment,view,Efforts designing and developing RFID tracking system for use in asset tracking,,,,,
aa_r19,R19 - WOLVERINE,R19 - WOLVERINE Overview,contract,Efforts designing and developing RFID tracking system for use in asset tracking,1,1,,,
aa_r19c,R19c - WOLVERINE - PROTOTYPE BUILD LABOR,R19 - WOLVERINE Overview,contract,Efforts designing and developing RFID tracking system for use in asset tracking - Prototype build labor,1,1,,,
aa_r60,R60 - BRAIN STORM,IR&D Sustainment,contract,Expense from brainstorming new development opportunities.,1,1,,,
aa_r61,R61 - LIGHT BULB,IR&D Sustainment,contract,Expense of minor R&D projects which are anticipated to last less than 2 weeks to complete.,1,1,,,
aa_r62,R62 - PROPOSALS,IR&D Sustainment,contract,Expense associated with gathering information and proposing IR&D projects to management.,1,1,,,
aa_r65,R65 - EMB SOFTWARE SUSTAINING ENG,IR&D Sustainment,contract,Expense from embedded software sustaining engineering.,1,1,,,
aa_r66,R66 - EMB HARDWARE SUSTAINING ENG,IR&D Sustainment,contract,Expense of embedded hardware sustaining engineering.,1,1,,,
aa_r67,R67 - RF SUSTAINING ENG,IR&D Sustainment,contract,Expense of sustaining engineering on RF equipment/designs.,1,1,,,
aa_r68,R68 - LISA 3D SUSTAINING ENG,IR&D Sustainment,contract,Expense of sustaining engineering on Lisa 3D.,1,1,,,
aa_r69,R69 - ALGORITHMS SUSTAINING ENG,IR&D Sustainment,contract,Expense of algorithm sustaining engineering.,1,1,,,
aa_r70,R70 - MECHANICAL SUSTAINING ENG,IR&D Sustainment,contract,Expense from mechanical sustaining engineering.,1,1,,,
aa_r75,R75 - UNIT TESTING,IR&D Sustainment,contract,"Expense of developing better testing capabilities. Actual testing of any unit should NOT be charged here, but to the appropriate project or manufacturing.",1,1,,,
aa_r76,R76 - RADAR IMAGING SERVICES,IR&D Sustainment,contract,Expense of initial discussion and imaging service preparation prior to an actual imaging campaign.,1,1,,,
aa_r77,R77 - NEW APPLICATIONS,IR&D Sustainment,contract,Expense of investigating new applications of existing IMSAR technology. This code should no longer be used once the effort is for a specific customer or when IMSAR is demonstrating the new application to a customer.,1,1,,,
aa_r80,R80 - MONA RELEASES,IR&D Sustainment,view,Expense of developing Mona.,,,,,
aa_r80a,R80 - MONA RELEASE v2.4.0,R80 - MONA RELEASES,contract,Expense of developing Mona release v. 2.4.0,1,1,,,
aa_r85,R85 - RFLIB RELEASES,IR&D Sustainment,view,Expense of developing RFLib.,,,,,
aa_r85a,R85 - RFLIB v2.0.0,R85 - RFLIB RELEASES,contract,Expense of developing RFLib v. 2.0.0,1,1,,,
aa_r90,R90 - LISA 3D RELEASES,IR&D Sustainment,view,Expense of developing Lisa 3D.,,,,,
aa_r90a,R90 - LISA 3D v1.3.0.0,R90 - LISA 3D RELEASES,contract,Expense of developing Lisa 3D v.1.3.0.0,1,1,,,
aa_irad_projects,IR&D Projects,IR&D,view,Internal Research and Development Projects,,,,,
aa_r100_view,R100 - ETHOS GIGE Overview,IR&D Projects,view,Expense associated with development of Gig Ethos,,,,,
aa_r100,R100 - ETHOS GIGE,R100 - ETHOS GIGE Overview,contract,Expense associated with development of Gig Ethos - General,1,1,,,
aa_r100a,R100a - ETHOS GIGE - DEVELOP,R100 - ETHOS GIGE Overview,contract,Expense associated with development of Gig Ethos - Development,1,1,,,
aa_r100b,R100b - ETHOS GIGE - TEST,R100 - ETHOS GIGE Overview,contract,Expense associated with development of Gig Ethos - Testing,1,1,,,
aa_r100c,R100c - ETHOS GIGE - DOCUMENT,R100 - ETHOS GIGE Overview,contract,Expense associated with development of Gig Ethos - Documentation,1,1,,,
aa_r101,R101 - BATMAN BEYOND,IR&D Projects,contract,Expense of developing GPS-denied geolocation capability after the conclusion of the Batman SBIR Phase I and II contracts.,1,1,,,
aa_r102,R102 - COMM SHAD POD,IR&D Projects,contract,Expense of designing a commercial radar pod for use on the Shadow platform.,1,1,,,
aa_r103_view,R103 - ESA MKII Overview,IR&D Projects,view,Expense of developing version II of electronically scanned array,,,,,
aa_r103,R103 - ESA MKII,R103 - ESA MKII Overview,contract,Expense of developing version II of electronically scanned array - General,1,1,,,
aa_r103a,R103a - ESA MKII - DEVELOP,R103 - ESA MKII Overview,contract,Expense of developing version II of electronically scanned array - Development,1,1,,,
aa_r103b,R103b - ESA MKII - TEST,R103 - ESA MKII Overview,contract,Expense of developing version II of electronically scanned array - Testing,1,1,,,
aa_r103c,R103c - ESA MKII - DOCUMENT,R103 - ESA MKII Overview,contract,Expense of developing version II of electronically scanned array - Documentation,1,1,,,
aa_r104,R104 - GOLDEN OAKS AAR,IR&D Projects,contract,"Expense of developing an after action review kit pursuant to IMSAR's agreement with Golden Oak. Expense associated with demonstrations, promotional materials, etc. should NOT be charged to this code (they should be charged to the appropriate direct sales, marketing, or similar code).",1,1,,,
aa_r105,R105 - MARITIME MTI MKII,IR&D Projects,contract,Expense of developing moving target indicator capabilities for use in maritime environments.,1,1,,,
aa_r106,R106 - MTI MKII,IR&D Projects,contract,Expense of developing moving target indicator capabilities for general use (not maritime).,1,1,,,
aa_r107,R107 - BRIDGER,IR&D Projects,contract,Expense of developing MTI tracker.,1,1,,,
aa_r108_view,R108 - SILVERTIP Overview,IR&D Projects,view,"Expense of developing software-controlled, all digital radar",,,,,
aa_r108,R108 - SILVERTIP,R108 - SILVERTIP Overview,contract,"Expense of developing software-controlled, all digital radar - General",1,1,,,
aa_r108a,R108a - SILVERTIP - DEVELOP,R108 - SILVERTIP Overview,normal,"Expense of developing software-controlled, all digital radar - Development",1,1,,,
aa_r108b,R108b - SILVERTIP - TEST,R108 - SILVERTIP Overview,normal,"Expense of developing software-controlled, all digital radar - Testing",1,1,,,
aa_r108c,R108c - SILVERTIP - DOCUMENT,R108 - SILVERTIP Overview,normal,"Expense of developing software-controlled, all digital radar - Documentation",1,1,,,
aa_direct_mfg,Direct Manufacturing COGS,PnL,view,Direct Manufacturing COGS,,,,maroon,
aa_mfg_labor,MFG Labor,Direct Manufacturing COGS,view,MFG Labor,,,,,
aa_m1,M1 - KITTING,MFG Labor,normal,Labor for kitting materials for items being manufacuted for product sales.,1,1,,,
aa_m5,M5 - SET-UP,MFG Labor,normal,Labor for setting up manufacturing tools and equipment for items being manufactured for product sales.,1,1,,,
aa_m10,M10 - ASSEMBLY,MFG Labor,normal,Labor for assembling manufactured goods for product sales.,1,1,,,
aa_m15,M15 - QUALITY ASSURANCE,MFG Labor,normal,Labor for performing QA functions for manufactured goods for product sales.,1,1,,,
aa_m20,M20 - TEST,MFG Labor,normal,Labor for testing of manufactured goods not already covered by other codes.,1,1,,,
aa_m25,M25 - RADIO FREQUENCY TEST,MFG Labor,normal,Labor for performing RF tests of manufactured goods for product sales.,1,1,,,
aa_m30,M30 - EMVORNMENTAL TEST,MFG Labor,normal,Labor for performing environmental testing of manufactured goods for product sales.,1,1,,,
aa_m35,M35 - FLIGHT TEST,MFG Labor,normal,Labor for performing flight testing of manufactured goods for product sales.,1,1,,,
aa_m40,M40 - REWORK,MFG Labor,normal,Labor for rework of manufactured goods for product sales..,1,1,,,
aa_m45,M45 - SHIPPING,MFG Labor,normal,Labor for shipping manufactured goods for product sales.,1,1,,,
aa_m50,M50 - CUSTOMIZATION,MFG Labor,normal,Labor for customizing manufactured goods for a particular customer. Costs associated with general R&D DO NOT belong in this task code. Also excluded are customization costs if the customer is reimbursing these costs directly via a contract.,1,1,,,
aa_m55,M55 - DOCUMENTATION,MFG Labor,normal,"Labor for creating, managing and maintaining documentation of serial numbers being produced for product sale.  Examples include creating a manufacturing workorder for builds using ""M"" task codes, maintaining t",1,1,,,
aa_m60,M60 - CUSTOMER SUPPORT,MFG Labor,normal,"Labor for supporting customers with delivered products that are functioning properly. This may include but is not limited to telephone discussions helping a customer properly configure or operate their hardware. This is to be distinguished from warranty repairs, which involve defective, non-conforming, or otherwise malfunctioning hardware.",1,1,,,
aa_m65,M65 - WARRANTY REPAIR,MFG Labor,normal,Labor for diagnosing problems and repairing delivered products that are under warranty and are not functioning properly.,1,1,,,
aa_m02,M02 - COGS MATERIALS,Direct Manufacturing COGS,normal,M02 - COGS MATERIALS,,1,,,
aa_mfg_travel,MFG Travel,Direct Manufacturing COGS,view,MFG Travel,,,,,
aa_m70,M70 - COGS TRAVEL,MFG Travel,normal,M70 - COGS TRAVEL,,1,,,
aa_m75,M75 - COGS TRAVEL - OWNER PER DIEM,MFG Travel,normal,M75 - COGS TRAVEL - OWNER PER DIEM,,1,,,
aa_mfg_subs,MFG Subs,Direct Manufacturing COGS,view,MFG Subs,,,,,
aa_m80,M80 - COGS SUBS - EXTERNAL,MFG Subs,normal,M80 - COGS SUBS - EXTERNAL,,1,,,
aa_m81,M81 - COGS SUBS - INTERCO,MFG Subs,normal,M81 - COGS SUBS - INTERCO,,1,,,
aa_mfg_other,MFG Other,Direct Manufacturing COGS,view,MFG Other,,,,,
aa_m90,M90 - ROYALTIES - EXTERNAL,MFG Other,normal,M90 - ROYALTIES - EXTERNAL,,1,,,
aa_m91,M91 - ROYALTIES - INTERCO,MFG Other,normal,M91 - ROYALTIES - INTERCO,,1,,,
aa_m95,M95 - COGS OTHER EXPENSES,MFG Other,normal,M95 - COGS OTHER EXPENSES,,1,,,
aa_overhead,Overhead,PnL,view,Overhead,,,,teal,
aa_oh_labor,Overhead Labor,Overhead,view,Overhead Labor,,,,,
aa_ol101,101 - GENERAL LABOR,Overhead Labor,normal,General labor within each department.  Labor that can't be adequately labeled with a more specific task code.,1,1,,,
aa_ol102,102 - BENEFITS ADMINISTRATION LABOR,Overhead Labor,normal,"Time spent managing employee benefits, such as health insurance or 401k plans.",1,1,,,
aa_ol109,109 - CLEANING LABOR,Overhead Labor,normal,"Time spent cleaning your workspace, equipment and facilities.",1,1,,,
aa_ol112,112 - EQUIP MAINT & CALIBRATION LABOR,Overhead Labor,normal,"Time spent maintaining, repairing and calibrating equipment.",1,1,,,
aa_ol114,114 - ERP IMPLEMENTATION LABOR,Overhead Labor,normal,"Time spent developing, implementing and testing the internal ERP system.",1,1,,,
aa_ol119,119 - INTERNAL AUDIT LABOR,Overhead Labor,normal,Time spent preparing or fulfilling internal audits.,1,1,,,
aa_ol122,122 - ISO LABOR,Overhead Labor,normal,Time spent preparing or fulfilling ISO compliance.,1,1,,,
aa_ol125,125 - IT LABOR,Overhead Labor,normal,"Time spent performing IT work that benefits a department or the company as a whole and is not allocable to any more specific objective or a contract. Examples include installing or updating software in most instances, assisting others with computer-related problems, maintaining the server, etc.",1,1,,,
aa_ol129,129 - KAIZEN LABOR,Overhead Labor,normal,"Time spent devising, implementing and documenting improvements to tasks, processes, procedures and policies in manufacturing.",1,1,,,
aa_ol132,132 - MANAGEMENT LABOR,Overhead Labor,normal,"Time spent completing managerial tasks (i.e. timesheet or expense approvals, performance reviews, etc.)",1,1,,,
aa_ol135,135 - MEETING LABOR,Overhead Labor,normal,"Time spent in meetings that benefit a department or the company as a whole and whose subject does not render the labor cost to be Unallowable per FAR.  Includes department or team meetings, performance reviews, ad hoc or focus group meetings, etc.",1,1,,,
aa_ol137,137 - PLANNING LABOR,Overhead Labor,normal,"Time spent making plans and preparations that benefit a department or the company as a whole (i.e. strategic planning, market analysis, etc.) and whose subject does not render the labor cost to be Unallowable per FAR.",1,1,,,
aa_ol138,138 - PACK & SHIP LABOR,Overhead Labor,normal,"Time spent for outbound product packaging, shipping and tracking.  Includes time spent making or modifying shipping containers, completing shipping documentation and delivery of package to carrier.",1,1,,,
aa_ol142,142 - PROCUREMENT LABOR,Overhead Labor,normal,Time spent purchasing and receiving materials and equipment for use by a department or the company as a whole.  Does not include purchasing of inventory or materials for a specific contract.,1,1,,,
aa_ol145,145 - RECRUITING LABOR,Overhead Labor,normal,"Time spent for recruitment, including reviewing applications, interviewing potential staff regarding specific work the prospective employee would be expected to perform or skills required for the position, and preparing and processing new hire paperwork.",1,1,,,
aa_ol148,148 - RELOCATION ALLOWANCE,Overhead Labor,normal,Employee relocation allowance allowable under FAR 31.205-35(b)(5). Not to be used for relocation labor. Not for use in timecard enty.,,1,,,
aa_ol150,150 - SECURITY LABOR,Overhead Labor,normal,"Time spent related to security concerns, including facilities and IT security, clearing visitors, administering ID badges, etc.",1,1,,,
aa_ol152,152 - REPAIR & MAINTENANCE LABOR,Overhead Labor,normal,"Time spent repairing, maintaining and improving IMSAR facilities and facilities related equipment.  Includes all repair and maintenance labor not included in 112 - EQUIP MAINT & CALIBRATION LABOR, which is Allowable per FAR.",1,1,,,
aa_ol153,153 - SCRAPPED LABOR,Overhead Labor,normal,Manufacturing labor associated with scrapped equipment.  Not to be used for labor during production.  Only for use in Journal Entries.,,1,,,
aa_ol158,158 - TECHNICAL WRITING LABOR,Overhead Labor,normal,"Time spent performing technical writing and document control for documents that are not more directly allocable to any contract, manufacturing, or IR&D code. Examples include creating process and product-line documentation, flowcharts, forms, maintaining library of approved process documentation, etc.  Not to be used for qualification and documentation of a specific manufactured item.",1,1,,,
aa_ol162,162 - TRAINING LABOR,Overhead Labor,normal,"Time spent training employees in company-related subjects and tasks.  The training should benefit the employee in their current or future roll, a department or the company as a whole.",1,1,,,
aa_ol165,165 - TRAVEL LABOR,Overhead Labor,normal,"Time spent traveling, the purpose of which is  company related but not directly allocable to any specific contract, manufactured item or IR&D project.",1,1,,,
